Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,1 Timothy 1,1,25
ἀπόστολος,an apostle,N-NMS,G652,1 Timothy 1,2,25
Χριστοῦ,of Christ,N-GMS,G5547,1 Timothy 1,3,25
Ἰησοῦ,Jesus,N-GMS,G2424,1 Timothy 1,4,25
κατ,according to,Prep,G2596,1 Timothy 1,5,25
ἐπιταγὴν,the command,N-AFS,G2003,1 Timothy 1,6,25
Θεοῦ,of God,N-GMS,G2316,1 Timothy 1,7,25
Σωτῆρος,the Savior,N-GMS,G4990,1 Timothy 1,8,25
ἡμῶν,of us,PPro-G1P,G1473,1 Timothy 1,9,25
καὶ,and,Conj,G2532,1 Timothy 1,10,25
τῆς,the,Art-GFS,G3588,1 Timothy 1,11,25
ἐλπίδος,hope,N-GFS,G1680,1 Timothy 1,12,25
Τιμοθέῳ,To Timothy,N-DMS,G5095,1 Timothy 1,13,25
γνησίῳ,my true,Adj-DNS,G1103,1 Timothy 1,14,25
τέκνῳ,child,N-DNS,G5043,1 Timothy 1,15,25
ἐν,in,Prep,G1722,1 Timothy 1,16,25
πίστει,the faith,N-DFS,G4102,1 Timothy 1,17,25
Χάρις,Grace,N-NFS,G5485,1 Timothy 1,18,25
ἔλεος,mercy,N-NNS,G1656,1 Timothy 1,19,25
εἰρήνη,and peace,N-NFS,G1515,1 Timothy 1,20,25
ἀπὸ,from,Prep,G575,1 Timothy 1,21,25
πατρὸς,the Father,N-GMS,G3962,1 Timothy 1,22,25
κυρίου,Lord,N-GMS,G2962,1 Timothy 1,23,25
Καθὼς,Just as,Adv,G2531,1 Timothy 1,24,25
παρεκάλεσά,I urged,V-AIA-1S,G3870,1 Timothy 1,25,25
σε,you,PPro-A2S,G4771,1 Timothy 1,26,25
προσμεῖναι,to remain,V-ANA,G4357,1 Timothy 1,27,25
Ἐφέσῳ,Ephesus,N-DFS,G2181,1 Timothy 1,28,25
πορευόμενος,when I was going,V-PPM/P-NMS,G4198,1 Timothy 1,29,25
εἰς,to,Prep,G1519,1 Timothy 1,30,25
Μακεδονίαν,Macedonia,N-AFS,G3109,1 Timothy 1,31,25
ἵνα,so that,Conj,G2443,1 Timothy 1,32,25
παραγγείλῃς,you might warn,V-ASA-2S,G3853,1 Timothy 1,33,25
τισὶν,certain men,IPro-DMP,G5100,1 Timothy 1,34,25
μὴ,not,Adv,G3361,1 Timothy 1,35,25
ἑτεροδιδασκαλεῖν,to teach other doctrines,V-PNA,G2085,1 Timothy 1,36,25
μηδὲ,nor,Conj,G3366,1 Timothy 1,37,25
προσέχειν,to give heed,V-PNA,G4337,1 Timothy 1,38,25
μύθοις,to myths,N-DMP,G3454,1 Timothy 1,39,25
γενεαλογίαις,genealogies,N-DFP,G1076,1 Timothy 1,40,25
ἀπεράντοις,endless,Adj-DFP,G562,1 Timothy 1,41,25
αἵτινες,which,RelPro-NFP,G3748,1 Timothy 1,42,25
ἐκζητήσεις,speculations,N-AFP,G2214,1 Timothy 1,43,25
παρέχουσιν,bring,V-PIA-3P,G3930,1 Timothy 1,44,25
μᾶλλον,rather,Adv,G3123,1 Timothy 1,45,25
ἢ,than,Conj,G2228,1 Timothy 1,46,25
οἰκονομίαν,stewardship,N-AFS,G3622,1 Timothy 1,47,25
δὲ,And,Conj,G1161,1 Timothy 1,48,25
τέλος,the goal,N-NNS,G5056,1 Timothy 1,49,25
παραγγελίας,instruction,N-GFS,G3852,1 Timothy 1,50,25
ἐστὶν,is,V-PIA-3S,G1510,1 Timothy 1,51,25
ἀγάπη,love,N-NFS,G26,1 Timothy 1,52,25
ἐκ,out of,Prep,G1537,1 Timothy 1,53,25
καθαρᾶς,a pure,Adj-GFS,G2513,1 Timothy 1,54,25
καρδίας,heart,N-GFS,G2588,1 Timothy 1,55,25
συνειδήσεως,a conscience,N-GFS,G4893,1 Timothy 1,56,25
ἀγαθῆς,good,Adj-GFS,G18,1 Timothy 1,57,25
ἀνυποκρίτου,sincere,Adj-GFS,G505,1 Timothy 1,58,25
ὧν,from which,RelPro-GFP,G3739,1 Timothy 1,59,25
ἀστοχήσαντες,having missed the mark,V-APA-NMP,G795,1 Timothy 1,60,25
ἐξετράπησαν,have turned aside,V-AIP-3P,G1624,1 Timothy 1,61,25
ματαιολογίαν,meaningless discourse,N-AFS,G3150,1 Timothy 1,62,25
θέλοντες,desiring,V-PPA-NMP,G2309,1 Timothy 1,63,25
νομοδιδάσκαλοι,teachers of the Law,N-NMP,G3547,1 Timothy 1,64,25
νοοῦντες,understanding,V-PPA-NMP,G3539,1 Timothy 1,65,25
μήτε,neither,Conj,G3383,1 Timothy 1,66,25
λέγουσιν,they are saying,V-PIA-3P,G3004,1 Timothy 1,67,25
περὶ,that about,Prep,G4012,1 Timothy 1,68,25
τίνων,which,IPro-GNP,G5101,1 Timothy 1,69,25
διαβεβαιοῦνται,they confidently assert,V-PIM/P-3P,G1226,1 Timothy 1,70,25
Οἴδαμεν,We know,V-RIA-1P,G1492,1 Timothy 1,71,25
ὅτι,that,Conj,G3754,1 Timothy 1,72,25
καλὸς,good is,Adj-NMS,G2570,1 Timothy 1,73,25
νόμος,law,N-NMS,G3551,1 Timothy 1,74,25
ἐάν,if,Conj,G1437,1 Timothy 1,75,25
αὐτῷ,it,PPro-DM3S,G846,1 Timothy 1,76,25
νομίμως,lawfully,Adv,G3545,1 Timothy 1,77,25
χρῆται,uses,V-PSM/P-3S,G5530,1 Timothy 1,78,25
τοῦτο,this,DPro-ANS,G3778,1 Timothy 1,79,25
δικαίῳ,for a righteous one,Adj-DMS,G1342,1 Timothy 1,80,25
οὐ,not,Adv,G3756,1 Timothy 1,81,25
κεῖται,is enacted,V-PIM/P-3S,G2749,1 Timothy 1,82,25
ἀνόμοις,for the lawless,Adj-DMP,G459,1 Timothy 1,83,25
ἀνυποτάκτοις,insubordinate,Adj-DMP,G506,1 Timothy 1,84,25
ἀσεβέσι,for the ungodly,Adj-DMP,G765,1 Timothy 1,85,25
ἁμαρτωλοῖς,sinful,Adj-DMP,G268,1 Timothy 1,86,25
ἀνοσίοις,for the unholy,Adj-DMP,G462,1 Timothy 1,87,25
βεβήλοις,profane,Adj-DMP,G952,1 Timothy 1,88,25
πατρολῴαις,for murderers of fathers,N-DMP,G3964,1 Timothy 1,89,25
μητρολῴαις,murderers of mothers,N-DMP,G3389,1 Timothy 1,90,25
ἀνδροφόνοις,for slayers of man,N-DMP,G409,1 Timothy 1,91,25
πόρνοις,for the sexually immoral,N-DMP,G4205,1 Timothy 1,92,25
