Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal,reading_order_position
Παῦλος,Paul,N-NMS,G3972,2 Timothy 1,1,26
ἀπόστολος,an apostle,N-NMS,G652,2 Timothy 1,2,26
Χριστοῦ,of Christ,N-GMS,G5547,2 Timothy 1,3,26
Ἰησοῦ,Jesus,N-GMS,G2424,2 Timothy 1,4,26
διὰ,by,Prep,G1223,2 Timothy 1,5,26
θελήματος,the will,N-GNS,G2307,2 Timothy 1,6,26
Θεοῦ,of God,N-GMS,G2316,2 Timothy 1,7,26
κατ,according to,Prep,G2596,2 Timothy 1,8,26
ἐπαγγελίαν,the promise,N-AFS,G1860,2 Timothy 1,9,26
ζωῆς,of life,N-GFS,G2222,2 Timothy 1,10,26
τῆς,-,Art-GFS,G3588,2 Timothy 1,11,26
ἐν,in,Prep,G1722,2 Timothy 1,12,26
Τιμοθέῳ,To Timothy,N-DMS,G5095,2 Timothy 1,13,26
ἀγαπητῷ,my beloved,Adj-DNS,G27,2 Timothy 1,14,26
τέκνῳ,child,N-DNS,G5043,2 Timothy 1,15,26
Χάρις,Grace,N-NFS,G5485,2 Timothy 1,16,26
ἔλεος,mercy,N-NNS,G1656,2 Timothy 1,17,26
εἰρήνη,and peace,N-NFS,G1515,2 Timothy 1,18,26
ἀπὸ,from,Prep,G575,2 Timothy 1,19,26
Πατρὸς,the Father,N-GMS,G3962,2 Timothy 1,20,26
καὶ,and,Conj,G2532,2 Timothy 1,21,26
Κυρίου,Lord,N-GMS,G2962,2 Timothy 1,22,26
ἡμῶν,of us,PPro-G1P,G1473,2 Timothy 1,23,26
ἔχω,I am,V-PIA-1S,G2192,2 Timothy 1,24,26
ᾧ,whom,RelPro-DMS,G3739,2 Timothy 1,25,26
λατρεύω,I serve,V-PIA-1S,G3000,2 Timothy 1,26,26
προγόνων,my forefathers,N-GMP,G4269,2 Timothy 1,27,26
καθαρᾷ,a pure,Adj-DFS,G2513,2 Timothy 1,28,26
συνειδήσει,conscience,N-DFS,G4893,2 Timothy 1,29,26
ὡς,as,Adv,G5613,2 Timothy 1,30,26
ἀδιάλειπτον,unceasingly,Adj-AFS,G88,2 Timothy 1,31,26
περὶ,of,Prep,G4012,2 Timothy 1,32,26
σοῦ,you,PPro-G2S,G4771,2 Timothy 1,33,26
μνείαν,remembrance,N-AFS,G3417,2 Timothy 1,34,26
δεήσεσίν,prayers,N-DFP,G1162,2 Timothy 1,35,26
νυκτὸς,night,N-GFS,G3571,2 Timothy 1,36,26
ἡμέρας,day,N-GFS,G2250,2 Timothy 1,37,26
ἐπιποθῶν,longing,V-PPA-NMS,G1971,2 Timothy 1,38,26
ἰδεῖν,to see,V-ANA,G3708,2 Timothy 1,39,26
μεμνημένος,recalling,V-RPM/P-NMS,G3403,2 Timothy 1,40,26
δακρύων,tears,N-GNP,G1144,2 Timothy 1,41,26
ἵνα,so that,Conj,G2443,2 Timothy 1,42,26
χαρᾶς,with joy,N-GFS,G5479,2 Timothy 1,43,26
πληρωθῶ,I may be filled,V-ASP-1S,G4137,2 Timothy 1,44,26
ὑπόμνησιν,remembrance,N-AFS,G5280,2 Timothy 1,45,26
λαβὼν,having taken,V-APA-NMS,G2983,2 Timothy 1,46,26
ἀνυποκρίτου,sincere,Adj-GFS,G505,2 Timothy 1,47,26
πίστεως,faith,N-GFS,G4102,2 Timothy 1,48,26
ἥτις,which,RelPro-NFS,G3748,2 Timothy 1,49,26
ἐνῴκησεν,dwelt,V-AIA-3S,G1774,2 Timothy 1,50,26
πρῶτον,first,Adv-S,G4412,2 Timothy 1,51,26
μάμμῃ,grandmother,N-DFS,G3125,2 Timothy 1,52,26
Λωΐδι,Lois,N-DFS,G3090,2 Timothy 1,53,26
μητρί,mother,N-DFS,G3384,2 Timothy 1,54,26
Εὐνίκῃ,Eunice,N-DFS,G2131,2 Timothy 1,55,26
πέπεισμαι,I am persuaded,V-RIM/P-1S,G3982,2 Timothy 1,56,26
δὲ,now,Conj,G1161,2 Timothy 1,57,26
ὅτι,that,Conj,G3754,2 Timothy 1,58,26
αἰτίαν,reason,N-AFS,G156,2 Timothy 1,59,26
ἀναμιμνῄσκω,I remind,V-PIA-1S,G363,2 Timothy 1,60,26
ἀναζωπυρεῖν,to kindle anew,V-PNA,G329,2 Timothy 1,61,26
χάρισμα,gift,N-ANS,G5486,2 Timothy 1,62,26
ἐστιν,is,V-PIA-3S,G1510,2 Timothy 1,63,26
ἐπιθέσεως,laying on,N-GFS,G1936,2 Timothy 1,64,26
χειρῶν,hands,N-GFP,G5495,2 Timothy 1,65,26
οὐ,Not,Adv,G3756,2 Timothy 1,66,26
γὰρ,for,Conj,G1063,2 Timothy 1,67,26
ἔδωκεν,has given,V-AIA-3S,G1325,2 Timothy 1,68,26
πνεῦμα,a spirit,N-ANS,G4151,2 Timothy 1,69,26
δειλίας,of cowardice,N-GFS,G1167,2 Timothy 1,70,26
ἀλλὰ,but,Conj,G235,2 Timothy 1,71,26
δυνάμεως,of power,N-GFS,G1411,2 Timothy 1,72,26
ἀγάπης,of love,N-GFS,G26,2 Timothy 1,73,26
σωφρονισμοῦ,of self-control,N-GMS,G4995,2 Timothy 1,74,26
Μὴ,Not,Adv,G3361,2 Timothy 1,75,26
οὖν,therefore,Conj,G3767,2 Timothy 1,76,26
ἐπαισχυνθῇς,you should be ashamed of,V-ASP-2S,G1870,2 Timothy 1,77,26
μαρτύριον,testimony,N-ANS,G3142,2 Timothy 1,78,26
μηδὲ,nor,Conj,G3366,2 Timothy 1,79,26
δέσμιον,prisoner,N-AMS,G1198,2 Timothy 1,80,26
αὐτοῦ,of Him,PPro-GM3S,G846,2 Timothy 1,81,26
συνκακοπάθησον,suffer together,V-AMA-2S,G4777,2 Timothy 1,82,26
εὐαγγελίῳ,gospel,N-DNS,G2098,2 Timothy 1,83,26
σώσαντος,having saved,V-APA-GMS,G4982,2 Timothy 1,84,26
καλέσαντος,having called us,V-APA-GMS,G2564,2 Timothy 1,85,26
κλήσει,with a calling,N-DFS,G2821,2 Timothy 1,86,26
